N,payload_bytes,direction,mean,p50,p95,p99,max,prr,n_samples
4,1000,dl,5.350000000000002,5.35,5.4,5.4,5.4,1.0,30
8,1000,dl,5.511666666666667,5.6,5.705,5.840999999999999,5.9,1.0,60
16,1000,dl,6.5009900990099,5.5,11.0,20.0,20.0,0.9711538461538461,101
24,1000,dl,5.962179487179487,5.55,6.5,11.9,12.0,1.0,156
31,1000,dl,7.361538461538461,6.4,10.5,12.3,12.5,1.0,195
4,16896,dl,9.036666666666667,9.0,9.3,9.3,9.3,1.0,30
8,16896,dl,16.259999999999998,11.9,27.2,27.241,27.3,1.0,60
16,16896,dl,40.58135593220339,39.3,45.51999999999999,53.9,54.3,0.9833333333333333,118
24,16896,dl,223.19552238805966,244.4,301.13,317.88000000000017,345.6,0.37222222222222223,67
31,16896,dl,401.87800000000004,304.04999999999995,952.5,980.2799999999999,1003.8,0.2222222222222222,50
