N,payload_bytes,direction,mean,p50,p95,p99,max,prr,n_samples
4,1000,ul,9.866666666666669,9.8,10.404999999999998,10.9,10.9,1.0,30
8,1000,ul,9.76,9.6,10.9,11.0,11.0,1.0,60
16,1000,ul,10.43469387755102,9.8,10.915,25.720000000000027,49.0,0.9423076923076923,98
24,1000,ul,10.375641025641023,10.0,11.0,16.0,16.0,1.0,156
31,1000,ul,10.701442307692306,10.7,11.9,12.0,12.0,1.0,208
4,16896,ul,16.683333333333334,16.6,17.71,17.8,17.8,1.0,30
8,16896,ul,19.98333333333333,18.6,24.0,25.0,25.0,1.0,60
16,16896,ul,25.285,24.0,32.0,32.981,33.0,1.0,120
24,16896,ul,30.211111111111112,25.8,39.854999999999976,42.921,45.0,1.0,180
31,16896,ul,36.4573275862069,37.8,49.8,49.9,50.0,0.9666666666666667,232
