tick,timestamp,N,K,k_cav_req,n_cav_kept,policy,filter_on,filter_mode,encode_ms,filter_ms,fusion_ms,detection_ms,tracking_ms,prediction_ms,edge_ms,n_dets,n_tracks,n_preds,n_gt,n_gt_inrange,n_gt_occluded,det_tp,det_fp,det_fn,det_tp_occluded,det_tp_visible,det_fn_occluded,det_fn_visible,trk_idsw,pred_ade,deadline_met,peak_alloc_mb,reserved_mb,config,town,rsu
0,000258,24,24,23,23,amort_only,False,none,1042.59,0.0,197.43,51.47,7.65,104.89,361.44,35,1,1,74,43,4,30,5,13,4,26,0,13,0,4.58,False,5549.7,8478.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
1,000260,24,24,23,23,amort_only,False,none,1145.76,0.0,192.43,16.22,11.77,0.03,220.45,32,1,1,74,43,4,26,6,17,3,23,1,16,0,4.49,False,6316.0,10834.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
2,000262,24,24,23,23,amort_only,False,none,1135.63,0.0,196.24,16.91,15.13,0.03,228.31,36,1,1,74,43,6,30,6,13,4,26,2,11,0,4.44,False,6320.7,13194.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
3,000264,24,24,23,23,amort_only,False,none,1137.84,0.0,194.72,18.23,13.3,0.02,226.28,33,1,1,74,42,6,27,6,15,4,23,2,13,0,4.42,False,6326.8,13194.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
4,000266,24,24,23,23,amort_only,False,none,1139.58,0.0,194.62,15.23,11.36,0.03,221.23,30,1,1,74,42,6,24,6,18,3,21,3,15,0,4.42,False,6326.1,13194.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
5,000268,24,24,23,23,amort_only,False,none,1153.8,0.0,192.77,16.72,12.65,0.03,222.17,31,1,1,74,42,6,25,6,17,3,22,3,14,0,4.42,False,6326.1,13194.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
6,000270,24,24,23,23,amort_only,False,none,1311.29,0.0,190.38,15.55,13.36,0.03,219.32,33,1,1,74,41,6,27,6,14,4,23,2,12,0,4.42,False,6329.4,6716.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
7,000272,24,24,23,23,amort_only,False,none,1153.83,0.0,191.12,17.6,13.23,0.03,221.98,33,1,1,74,41,6,27,6,14,4,23,2,12,0,4.42,False,6336.4,9084.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
8,000274,24,24,23,23,amort_only,False,none,1143.41,0.0,190.32,17.07,12.77,0.03,220.19,33,1,1,74,42,7,27,6,15,4,23,3,12,0,4.4,False,6342.0,11456.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
9,000276,24,24,23,23,amort_only,False,none,1009.85,0.0,194.32,20.88,13.73,0.02,228.96,34,1,1,74,42,8,28,6,14,5,23,3,11,0,4.37,False,6340.8,11456.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
10,000278,23,23,22,22,amort_only,False,none,963.87,0.0,182.75,18.71,13.65,0.02,215.13,34,1,1,74,42,7,28,6,14,5,23,2,12,0,4.34,False,6172.7,11456.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
11,000280,23,23,22,22,amort_only,False,none,1107.57,0.0,182.29,18.07,13.0,28.07,241.42,33,1,1,74,42,7,27,6,15,4,23,3,12,0,4.28,False,6144.1,11464.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
12,000282,23,23,22,22,amort_only,False,none,1124.59,0.0,178.54,22.0,14.5,0.03,215.06,35,1,1,74,42,7,29,6,13,5,24,2,11,0,4.2,False,6141.6,11464.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
13,000284,23,23,22,22,amort_only,False,none,1123.87,0.0,183.03,18.49,14.6,0.03,216.15,34,1,1,74,41,6,28,6,13,5,23,1,12,0,4.11,False,6142.7,11464.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
14,000286,23,23,22,22,amort_only,False,none,1098.77,0.0,177.32,17.28,13.58,0.02,208.2,35,1,1,74,41,6,29,6,12,5,24,1,11,0,4.0,False,6135.9,11464.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
15,000288,23,23,22,22,amort_only,False,none,1129.29,0.0,183.0,15.74,13.05,0.03,211.82,33,1,1,74,41,6,27,6,14,5,22,1,13,0,3.89,False,6136.5,11464.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
16,000290,23,23,22,22,amort_only,False,none,961.28,0.0,184.14,15.13,11.34,0.02,210.63,30,1,1,73,41,5,25,5,16,2,23,3,13,0,3.77,False,6135.7,11464.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
17,000292,23,23,22,22,amort_only,False,none,1122.72,0.0,185.38,18.17,12.23,0.02,215.8,32,1,1,74,41,4,26,6,15,3,23,1,14,0,3.65,False,6135.7,11464.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
18,000294,23,23,22,22,amort_only,False,none,1119.5,0.0,186.8,17.51,12.17,0.02,216.51,32,1,1,74,41,4,26,6,15,3,23,1,14,0,3.52,False,6135.3,11464.0,amort_only,Town05__2023_11_13_23_03_07,rsu_250
