config,town,rsu,tick,timestamp,N,K,k_cav_req,n_cav_kept,policy,filter_on,filter_mode,encode_ms,filter_ms,fusion_ms,detection_ms,tracking_ms,prediction_ms,edge_ms,n_dets,n_tracks,n_preds,n_gt,n_gt_inrange,n_gt_occluded,det_tp,det_fp,det_fn,det_tp_occluded,det_tp_visible,det_fn_occluded,det_fn_visible,trk_idsw,pred_ade,deadline_met,peak_alloc_mb,reserved_mb
static_all,Town05__2023_11_13_23_03_07,rsu_250,0,000258,24,24,23,23,static,False,none,1013.34,0.0,208.28,64.8,8.14,0.01,281.23,35,25,0,74,43,4,27,8,16,2,25,2,14,0,,False,5576.8,8498.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,1,000260,24,24,23,23,static,False,none,1123.37,0.0,196.91,26.98,8.44,0.01,232.34,31,27,0,74,43,4,26,5,17,1,25,3,14,0,,False,6342.4,10854.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,2,000262,24,24,23,23,static,False,none,1122.15,0.0,205.79,27.89,8.17,0.01,241.86,32,28,0,74,43,6,26,6,17,2,24,4,13,0,,False,6347.7,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,3,000264,24,24,23,23,static,False,none,1125.95,0.0,203.7,25.36,7.95,0.01,237.02,31,20,0,74,42,6,27,4,15,2,25,4,11,0,,False,6353.4,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,4,000266,24,24,23,23,static,False,none,1130.64,0.0,193.69,30.26,9.07,0.01,233.03,29,21,0,74,42,6,24,5,18,0,24,6,12,0,,False,6353.6,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,5,000268,24,24,23,23,static,False,none,1131.24,0.0,194.83,28.21,8.09,0.01,231.13,29,20,0,74,42,6,24,5,18,1,23,5,13,0,,False,6353.2,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,6,000270,24,24,23,23,static,False,none,1279.97,0.0,192.94,23.54,7.91,0.01,224.39,33,22,0,74,41,6,23,10,18,1,22,5,13,0,,False,6356.4,6752.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,7,000272,24,24,23,23,static,False,none,1125.37,0.0,192.59,28.08,7.78,0.01,228.46,31,23,0,74,41,6,25,6,16,1,24,5,11,0,,False,6362.8,9120.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,8,000274,24,24,23,23,static,False,none,991.43,0.0,202.2,24.78,7.56,0.01,234.55,30,23,0,74,42,7,24,6,18,1,23,6,12,0,,False,6369.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,9,000276,24,24,23,23,static,False,none,1117.67,0.0,192.11,21.78,7.68,0.01,221.58,30,23,0,74,42,8,24,6,18,2,22,6,12,0,,False,6367.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,10,000278,23,23,22,22,static,False,none,1075.3,0.0,186.88,23.59,7.88,0.01,218.36,31,22,0,74,42,7,25,6,17,3,22,4,13,0,,False,6200.2,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,11,000280,23,23,22,22,static,False,none,1068.82,0.0,195.85,22.04,8.17,0.01,226.08,31,23,0,74,42,7,25,6,17,3,22,4,13,0,,False,6170.5,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,12,000282,23,23,22,22,static,False,none,1074.75,0.0,183.67,23.21,8.5,0.01,215.39,33,25,0,74,42,7,25,8,17,3,22,4,13,0,,False,6169.3,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,13,000284,23,23,22,22,static,False,none,1084.09,0.0,184.57,27.11,8.03,0.01,219.72,32,25,0,74,41,6,28,4,13,4,24,2,11,0,,False,6169.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,14,000286,23,23,22,22,static,False,none,947.02,0.0,183.97,22.84,7.95,0.01,214.77,30,22,0,74,41,6,26,4,15,3,23,3,12,0,,False,6163.6,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,15,000288,23,23,22,22,static,False,none,947.96,0.0,186.93,22.47,8.05,0.01,217.45,30,24,0,74,41,6,24,6,17,4,20,2,15,0,,False,6162.9,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,16,000290,23,23,22,22,static,False,none,1082.96,0.0,193.69,25.61,8.49,0.01,227.79,35,24,0,73,41,5,25,10,16,2,23,3,13,0,,False,6163.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,17,000292,23,23,22,22,static,False,none,1097.51,0.0,186.78,26.48,9.26,0.01,222.53,35,25,0,74,41,4,26,9,15,3,23,1,14,0,,False,6162.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,18,000294,23,23,22,22,static,False,none,1083.73,0.0,188.78,27.36,9.32,0.01,225.48,34,24,0,74,41,4,25,9,16,1,24,3,13,0,,False,6162.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,19,000296,23,23,22,22,static,False,none,951.23,0.0,193.5,27.78,8.08,0.01,229.38,32,23,0,74,41,4,24,8,17,2,22,2,15,0,,False,6159.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,20,000298,23,23,22,22,static,False,none,953.6,0.0,184.44,26.7,7.97,0.01,219.13,31,22,0,74,42,4,24,7,18,2,22,2,16,0,,False,6156.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,21,000300,23,23,22,22,static,False,none,1085.84,0.0,187.54,19.0,6.64,99.31,312.49,25,23,12,74,42,4,20,5,22,1,19,3,19,0,2.45,False,6148.7,11504.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,22,000302,23,23,22,22,static,False,none,1105.75,0.0,182.4,22.34,8.08,33.28,246.11,30,23,13,74,42,4,23,7,19,1,22,3,16,0,3.61,False,6152.0,11510.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,23,000304,23,23,22,22,static,False,none,1105.63,0.0,195.55,27.37,7.81,33.87,264.6,30,22,13,74,42,3,24,6,18,1,23,2,16,0,4.68,False,6150.9,11516.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,24,000306,23,23,22,22,static,False,none,962.52,0.0,184.37,27.47,8.38,41.38,261.6,33,23,13,74,42,3,24,9,18,1,23,2,16,0,3.32,False,6148.0,11516.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,25,000308,23,23,22,22,static,False,none,1119.6,0.0,188.02,26.01,7.41,31.57,253.01,28,24,13,74,42,3,23,5,19,1,22,2,17,0,4.92,False,6144.4,11516.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,26,000310,23,23,22,22,static,False,none,1106.6,0.0,184.29,28.26,8.36,34.7,255.61,31,24,14,74,42,3,24,7,18,1,23,2,16,1,5.09,False,6138.3,11516.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,27,000312,23,23,22,22,static,False,none,949.11,0.0,193.19,26.03,7.33,32.59,259.14,29,22,15,74,42,3,24,5,18,1,23,2,16,0,3.2,False,6140.4,11516.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,28,000314,23,23,22,22,static,False,none,1108.74,0.0,187.04,24.71,7.45,43.73,262.93,30,22,16,74,42,3,24,6,18,1,23,2,16,0,2.86,False,6145.6,11518.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,29,000316,23,23,22,22,static,False,none,1118.15,0.0,181.69,24.49,8.43,35.06,249.66,33,22,16,74,42,3,25,8,17,2,23,1,16,0,2.91,False,6135.8,11518.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,30,000318,23,23,22,22,static,False,none,960.32,0.0,195.75,24.11,7.38,33.26,260.5,30,22,16,74,41,2,24,6,17,2,22,0,17,0,2.6,False,6138.3,11518.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,31,000320,23,23,22,22,static,False,none,964.21,0.0,192.47,27.08,9.0,33.14,261.7,35,22,16,74,41,2,26,9,15,2,24,0,15,0,3.21,False,6133.2,11518.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,32,000322,23,23,22,22,static,False,none,1107.81,0.0,186.53,25.14,8.09,42.73,262.5,29,22,15,74,41,2,24,5,17,1,23,1,16,0,3.11,False,6130.6,11518.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,33,000324,23,23,22,22,static,False,none,1120.82,0.0,186.34,27.74,8.11,36.2,258.38,31,23,15,74,41,2,25,6,16,2,23,0,16,0,5.43,False,6125.4,11518.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,34,000326,23,23,22,22,static,False,none,947.67,0.0,193.23,27.75,8.79,30.87,260.64,33,21,14,74,41,2,27,6,14,2,25,0,14,0,4.3,False,6118.6,11518.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,35,000328,23,23,22,22,static,False,none,1108.74,0.0,191.4,32.1,9.05,29.6,262.14,34,23,14,74,41,2,27,7,14,2,25,0,14,0,3.59,False,6109.7,11518.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,36,000330,23,23,22,22,static,False,none,955.07,0.0,183.68,30.37,7.89,32.17,254.1,32,25,14,74,41,2,25,7,16,2,23,0,16,0,2.77,False,6110.2,11518.0
