config,town,rsu,tick,timestamp,N,K,k_cav_req,n_cav_kept,policy,filter_on,filter_mode,encode_ms,filter_ms,fusion_ms,detection_ms,tracking_ms,prediction_ms,edge_ms,n_dets,n_tracks,n_preds,n_gt,n_gt_inrange,n_gt_occluded,det_tp,det_fp,det_fn,det_tp_occluded,det_tp_visible,det_fn_occluded,det_fn_visible,trk_idsw,pred_ade,deadline_met,peak_alloc_mb,reserved_mb
static_all,Town05__2023_11_13_23_03_07,rsu_250,0,000258,24,24,23,23,static,False,none,989.92,0.0,213.36,63.5,7.61,0.01,284.48,35,25,0,74,43,4,27,8,16,2,25,2,14,0,,False,5576.8,8498.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,1,000260,24,24,23,23,static,False,none,1086.02,0.0,196.58,32.48,8.25,0.01,237.32,31,27,0,74,43,4,26,5,17,1,25,3,14,0,,False,6342.4,10854.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,2,000262,24,24,23,23,static,False,none,1084.3,0.0,196.92,31.0,8.09,0.01,236.02,32,28,0,74,43,6,26,6,17,2,24,4,13,0,,False,6347.7,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,3,000264,24,24,23,23,static,False,none,1090.61,0.0,216.34,24.81,7.66,0.01,248.83,31,20,0,74,42,6,27,4,15,2,25,4,11,0,,False,6353.4,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,4,000266,24,24,23,23,static,False,none,1096.88,0.0,206.79,29.59,7.67,0.01,244.06,29,21,0,74,42,6,24,5,18,0,24,6,12,0,,False,6353.6,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,5,000268,24,24,23,23,static,False,none,1093.52,0.0,196.87,27.56,7.93,0.01,232.37,29,20,0,74,42,6,24,5,18,1,23,5,13,0,,False,6353.2,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,6,000270,24,24,23,23,static,False,none,1258.06,0.0,196.1,25.51,8.42,0.01,230.04,33,22,0,74,41,6,23,10,18,1,22,5,13,0,,False,6356.4,6752.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,7,000272,24,24,23,23,static,False,none,1091.79,0.0,191.88,27.25,7.6,0.01,226.74,31,23,0,74,41,6,25,6,16,1,24,5,11,0,,False,6362.8,9120.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,8,000274,24,24,23,23,static,False,none,1090.12,0.0,213.32,24.16,7.67,0.01,245.16,30,23,0,74,42,7,24,6,18,1,23,6,12,0,,False,6369.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,9,000276,24,24,23,23,static,False,none,968.3,0.0,191.3,21.34,7.66,0.01,220.31,30,23,0,74,42,8,24,6,18,2,22,6,12,0,,False,6367.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,10,000278,23,23,22,22,static,False,none,938.11,0.0,183.65,23.3,7.76,0.01,214.72,31,22,0,74,42,7,25,6,17,3,22,4,13,0,,False,6200.2,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,11,000280,23,23,22,22,static,False,none,1067.5,0.0,202.52,23.85,8.04,0.01,234.42,31,23,0,74,42,7,25,6,17,3,22,4,13,0,,False,6170.5,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,12,000282,23,23,22,22,static,False,none,1063.81,0.0,187.12,22.82,8.37,0.02,218.33,33,25,0,74,42,7,25,8,17,3,22,4,13,0,,False,6169.3,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,13,000284,23,23,22,22,static,False,none,1075.51,0.0,187.57,26.74,8.01,0.01,222.34,32,25,0,74,41,6,28,4,13,4,24,2,11,0,,False,6169.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,14,000286,23,23,22,22,static,False,none,1057.25,0.0,196.75,22.28,7.79,0.01,226.84,30,22,0,74,41,6,26,4,15,3,23,3,12,0,,False,6163.6,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,15,000288,23,23,22,22,static,False,none,1074.78,0.0,183.18,22.28,7.89,0.01,213.36,30,24,0,74,41,6,24,6,17,4,20,2,15,0,,False,6162.9,11492.0
