config,town,rsu,tick,timestamp,N,K,k_cav_req,n_cav_kept,policy,filter_on,filter_mode,encode_ms,filter_ms,fusion_ms,detection_ms,tracking_ms,prediction_ms,edge_ms,n_dets,n_tracks,n_preds,n_gt,n_gt_inrange,n_gt_occluded,det_tp,det_fp,det_fn,det_tp_occluded,det_tp_visible,det_fn_occluded,det_fn_visible,trk_idsw,pred_ade,deadline_met,peak_alloc_mb,reserved_mb
static_all,Town05__2023_11_13_23_03_07,rsu_250,0,000258,24,24,23,23,static,False,none,998.33,0.0,214.56,64.63,7.63,0.01,286.83,35,25,0,74,43,4,27,8,16,2,25,2,14,0,,False,5576.8,8498.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,1,000260,24,24,23,23,static,False,none,1092.34,0.0,203.35,26.1,8.06,0.01,237.52,31,27,0,74,43,4,26,5,17,1,25,3,14,0,,False,6342.4,10854.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,2,000262,24,24,23,23,static,False,none,1099.64,0.0,192.55,27.11,8.26,0.01,227.92,32,28,0,74,43,6,26,6,17,2,24,4,13,0,,False,6347.7,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,3,000264,24,24,23,23,static,False,none,1098.14,0.0,198.19,24.95,7.68,0.01,230.83,31,20,0,74,42,6,27,4,15,2,25,4,11,0,,False,6353.4,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,4,000266,24,24,23,23,static,False,none,1099.41,0.0,202.71,29.99,7.72,0.01,240.43,29,21,0,74,42,6,24,5,18,0,24,6,12,0,,False,6353.6,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,5,000268,24,24,23,23,static,False,none,1096.06,0.0,207.11,27.65,7.92,0.01,242.69,29,20,0,74,42,6,24,5,18,1,23,5,13,0,,False,6353.2,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,6,000270,24,24,23,23,static,False,none,1269.39,0.0,204.14,23.39,7.89,0.01,235.43,33,22,0,74,41,6,23,10,18,1,22,5,13,0,,False,6356.4,6752.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,7,000272,24,24,23,23,static,False,none,1148.63,0.0,206.56,28.53,7.72,0.01,242.83,31,23,0,74,41,6,25,6,16,1,24,5,11,0,,False,6362.8,9120.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,8,000274,24,24,23,23,static,False,none,993.99,0.0,201.44,24.59,7.63,0.01,233.68,30,23,0,74,42,7,24,6,18,1,23,6,12,0,,False,6369.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,9,000276,24,24,23,23,static,False,none,1138.91,0.0,206.54,21.93,7.67,0.01,236.15,30,23,0,74,42,8,24,6,18,2,22,6,12,0,,False,6367.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,10,000278,23,23,22,22,static,False,none,1076.38,0.0,196.11,23.28,7.92,0.01,227.32,31,22,0,74,42,7,25,6,17,3,22,4,13,0,,False,6200.2,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,11,000280,23,23,22,22,static,False,none,1079.06,0.0,187.41,21.7,8.09,0.01,217.22,31,23,0,74,42,7,25,6,17,3,22,4,13,0,,False,6170.5,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,12,000282,23,23,22,22,static,False,none,1086.6,0.0,190.98,23.47,8.46,0.01,222.92,33,25,0,74,42,7,25,8,17,3,22,4,13,0,,False,6169.3,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,13,000284,23,23,22,22,static,False,none,1081.66,0.0,195.32,27.32,8.08,0.01,230.73,32,25,0,74,41,6,28,4,13,4,24,2,11,0,,False,6169.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,14,000286,23,23,22,22,static,False,none,940.25,0.0,182.33,21.73,7.85,0.01,211.92,30,22,0,74,41,6,26,4,15,3,23,3,12,0,,False,6163.6,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,15,000288,23,23,22,22,static,False,none,936.76,0.0,194.57,21.84,7.92,0.01,224.35,30,24,0,74,41,6,24,6,17,4,20,2,15,0,,False,6162.9,11492.0
