config,town,rsu,tick,timestamp,N,K,k_cav_req,n_cav_kept,policy,filter_on,filter_mode,encode_ms,filter_ms,fusion_ms,detection_ms,tracking_ms,prediction_ms,edge_ms,n_dets,n_tracks,n_preds,n_gt,n_gt_inrange,n_gt_occluded,det_tp,det_fp,det_fn,det_tp_occluded,det_tp_visible,det_fn_occluded,det_fn_visible,trk_idsw,pred_ade,deadline_met,peak_alloc_mb,reserved_mb
static_all,Town05__2023_11_13_23_03_07,rsu_250,0,000258,24,24,23,23,static,False,none,992.85,0.0,215.9,63.92,7.75,0.01,287.58,35,25,0,74,43,4,27,8,16,2,25,2,14,0,,False,5576.8,8498.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,1,000260,24,24,23,23,static,False,none,1136.54,0.0,212.19,26.32,8.1,0.01,246.62,31,27,0,74,43,4,26,5,17,1,25,3,14,0,,False,6342.4,10854.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,2,000262,24,24,23,23,static,False,none,1116.42,0.0,199.43,28.33,8.27,0.01,236.05,32,28,0,74,43,6,26,6,17,2,24,4,13,0,,False,6347.7,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,3,000264,24,24,23,23,static,False,none,1144.12,0.0,207.12,26.05,7.73,0.01,240.91,31,20,0,74,42,6,27,4,15,2,25,4,11,0,,False,6353.4,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,4,000266,24,24,23,23,static,False,none,1092.12,0.0,211.53,29.79,7.64,0.01,248.97,29,21,0,74,42,6,24,5,18,0,24,6,12,0,,False,6353.6,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,5,000268,24,24,23,23,static,False,none,1097.26,0.0,214.11,27.74,7.9,0.01,249.76,29,20,0,74,42,6,24,5,18,1,23,5,13,0,,False,6353.2,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,6,000270,24,24,23,23,static,False,none,1249.72,0.0,204.08,24.06,8.05,0.01,236.2,33,22,0,74,41,6,23,10,18,1,22,5,13,0,,False,6356.4,6752.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,7,000272,24,24,23,23,static,False,none,1096.47,0.0,186.93,27.71,7.64,0.01,222.29,31,23,0,74,41,6,25,6,16,1,24,5,11,0,,False,6362.8,9120.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,8,000274,24,24,23,23,static,False,none,966.58,0.0,210.22,24.82,7.56,0.01,242.61,30,23,0,74,42,7,24,6,18,1,23,6,12,0,,False,6369.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,9,000276,24,24,23,23,static,False,none,1107.75,0.0,204.82,21.67,7.65,0.01,234.16,30,23,0,74,42,8,24,6,18,2,22,6,12,0,,False,6367.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,10,000278,23,23,22,22,static,False,none,1054.56,0.0,196.14,23.34,7.85,0.01,227.35,31,22,0,74,42,7,25,6,17,3,22,4,13,0,,False,6200.2,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,11,000280,23,23,22,22,static,False,none,1065.34,0.0,192.25,21.52,8.02,0.01,221.8,31,23,0,74,42,7,25,6,17,3,22,4,13,0,,False,6170.5,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,12,000282,23,23,22,22,static,False,none,1063.68,0.0,200.91,23.14,8.39,0.01,232.46,33,25,0,74,42,7,25,8,17,3,22,4,13,0,,False,6169.3,11492.0
