config,town,rsu,tick,timestamp,N,K,k_cav_req,n_cav_kept,policy,filter_on,filter_mode,encode_ms,filter_ms,fusion_ms,detection_ms,tracking_ms,prediction_ms,edge_ms,n_dets,n_tracks,n_preds,n_gt,n_gt_inrange,n_gt_occluded,det_tp,det_fp,det_fn,det_tp_occluded,det_tp_visible,det_fn_occluded,det_fn_visible,trk_idsw,pred_ade,deadline_met,peak_alloc_mb,reserved_mb
static_all,Town05__2023_11_13_23_03_07,rsu_250,0,000258,24,24,23,23,static,False,none,990.68,0.0,216.52,64.92,7.67,0.01,289.12,35,25,0,74,43,4,27,8,16,2,25,2,14,0,,False,5576.8,8498.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,1,000260,24,24,23,23,static,False,none,1096.13,0.0,211.46,27.01,8.14,0.01,246.62,31,27,0,74,43,4,26,5,17,1,25,3,14,0,,False,6342.4,10854.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,2,000262,24,24,23,23,static,False,none,1100.01,0.0,197.69,27.5,8.09,0.01,233.29,32,28,0,74,43,6,26,6,17,2,24,4,13,0,,False,6347.7,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,3,000264,24,24,23,23,static,False,none,1116.18,0.0,197.87,24.88,7.54,0.01,230.3,31,20,0,74,42,6,27,4,15,2,25,4,11,0,,False,6353.4,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,4,000266,24,24,23,23,static,False,none,1103.42,0.0,199.37,29.92,7.68,0.01,236.98,29,21,0,74,42,6,24,5,18,0,24,6,12,0,,False,6353.6,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,5,000268,24,24,23,23,static,False,none,1103.98,0.0,207.21,27.77,7.94,0.01,242.92,29,20,0,74,42,6,24,5,18,1,23,5,13,0,,False,6353.2,13214.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,6,000270,24,24,23,23,static,False,none,1263.33,0.0,201.73,23.15,7.86,0.01,232.76,33,22,0,74,41,6,23,10,18,1,22,5,13,0,,False,6356.4,6752.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,7,000272,24,24,23,23,static,False,none,1102.92,0.0,192.26,28.42,7.81,0.01,228.5,31,23,0,74,41,6,25,6,16,1,24,5,11,0,,False,6362.8,9120.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,8,000274,24,24,23,23,static,False,none,991.49,0.0,196.0,24.84,7.44,0.01,228.3,30,23,0,74,42,7,24,6,18,1,23,6,12,0,,False,6369.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,9,000276,24,24,23,23,static,False,none,1114.82,0.0,205.76,21.89,7.63,0.01,235.29,30,23,0,74,42,8,24,6,18,2,22,6,12,0,,False,6367.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,10,000278,23,23,22,22,static,False,none,1067.6,0.0,192.47,23.17,7.74,0.01,223.39,31,22,0,74,42,7,25,6,17,3,22,4,13,0,,False,6200.2,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,11,000280,23,23,22,22,static,False,none,1069.79,0.0,188.87,22.13,7.98,0.01,219.0,31,23,0,74,42,7,25,6,17,3,22,4,13,0,,False,6170.5,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,12,000282,23,23,22,22,static,False,none,1071.64,0.0,191.96,23.25,8.27,0.01,223.49,33,25,0,74,42,7,25,8,17,3,22,4,13,0,,False,6169.3,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,13,000284,23,23,22,22,static,False,none,1071.32,0.0,188.33,27.47,8.07,0.01,223.89,32,25,0,74,41,6,28,4,13,4,24,2,11,0,,False,6169.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,14,000286,23,23,22,22,static,False,none,942.09,0.0,192.29,22.66,7.9,0.01,222.86,30,22,0,74,41,6,26,4,15,3,23,3,12,0,,False,6163.6,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,15,000288,23,23,22,22,static,False,none,943.83,0.0,183.11,22.1,7.91,0.01,213.13,30,24,0,74,41,6,24,6,17,4,20,2,15,0,,False,6162.9,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,16,000290,23,23,22,22,static,False,none,1086.58,0.0,197.44,26.29,9.17,0.01,232.91,35,24,0,73,41,5,25,10,16,2,23,3,13,0,,False,6163.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,17,000292,23,23,22,22,static,False,none,1077.39,0.0,205.41,25.12,9.19,0.01,239.73,35,25,0,74,41,4,26,9,15,3,23,1,14,0,,False,6162.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,18,000294,23,23,22,22,static,False,none,1076.99,0.0,183.34,31.75,9.27,0.01,224.38,34,24,0,74,41,4,25,9,16,1,24,3,13,0,,False,6162.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,19,000296,23,23,22,22,static,False,none,947.83,0.0,205.24,27.45,8.09,0.01,240.79,32,23,0,74,41,4,24,8,17,2,22,2,15,0,,False,6159.1,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,20,000298,23,23,22,22,static,False,none,957.33,0.0,196.3,27.02,7.97,0.01,231.31,31,22,0,74,42,4,24,7,18,2,22,2,16,0,,False,6156.4,11492.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,21,000300,23,23,22,22,static,False,none,1088.31,0.0,191.53,19.17,6.74,105.5,322.95,25,23,12,74,42,4,20,5,22,1,19,3,19,0,2.45,False,6148.7,11504.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,22,000302,23,23,22,22,static,False,none,1081.16,0.0,192.79,22.14,7.79,32.68,255.39,30,23,13,74,42,4,23,7,19,1,22,3,16,0,3.63,False,6152.0,11510.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,23,000304,23,23,22,22,static,False,none,1090.42,0.0,196.01,27.22,7.68,31.17,262.08,30,22,13,74,42,3,24,6,18,1,23,2,16,0,4.68,False,6150.9,11516.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,24,000306,23,23,22,22,static,False,none,947.29,0.0,196.37,27.21,8.21,34.67,266.45,33,23,13,74,42,3,24,9,18,1,23,2,16,0,3.32,False,6148.0,11516.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,25,000308,23,23,22,22,static,False,none,1089.5,0.0,194.84,29.54,7.4,31.28,263.06,28,24,13,74,42,3,23,5,19,1,22,2,17,0,4.92,False,6144.4,11516.0
static_all,Town05__2023_11_13_23_03_07,rsu_250,26,000310,23,23,22,22,static,False,none,1098.26,0.0,187.29,28.43,8.15,35.65,259.52,31,24,14,74,42,3,24,7,18,1,23,2,16,1,5.09,False,6138.3,11516.0
