config,town,rsu,tick,timestamp,N,K,k_cav_req,n_cav_kept,policy,filter_on,filter_mode,encode_ms,filter_ms,fusion_ms,detection_ms,tracking_ms,prediction_ms,edge_ms,n_dets,n_tracks,n_preds,n_gt,n_gt_inrange,n_gt_occluded,det_tp,det_fp,det_fn,det_tp_occluded,det_tp_visible,det_fn_occluded,det_fn_visible,trk_idsw,pred_ade,deadline_met,peak_alloc_mb,reserved_mb
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,0,000258,27,27,26,26,static,False,none,1023.49,0.0,231.8,83.57,8.19,211.38,534.94,34,1,1,48,41,6,16,18,25,2,14,4,21,0,15.54,False,6574.9,6966.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,1,000260,27,27,26,26,static,False,none,1104.8,0.0,232.53,18.12,16.58,81.39,348.62,34,1,1,48,41,6,17,17,24,3,14,3,21,0,15.52,False,7419.4,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,2,000262,27,27,26,26,static,False,none,1099.89,0.0,215.73,29.35,16.18,94.4,355.66,33,1,1,48,41,5,16,17,25,3,13,2,23,0,15.56,False,7423.0,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,3,000264,27,27,26,26,static,False,none,1130.07,0.0,240.03,20.26,15.59,84.22,360.1,34,1,1,48,41,5,16,18,25,3,13,2,23,0,15.5,False,7418.8,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,4,000266,27,27,26,26,static,False,none,1094.6,0.0,230.4,25.11,15.13,72.36,343.0,33,1,1,48,41,5,16,17,25,3,13,2,23,0,15.51,False,7424.0,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,5,000268,27,27,26,26,static,False,none,959.98,0.0,228.48,20.16,15.16,88.46,352.26,33,1,1,48,41,5,16,17,25,3,13,2,23,0,15.46,False,7415.6,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,6,000270,27,27,26,26,static,False,none,1125.96,0.0,225.6,25.41,15.43,93.29,359.72,34,1,1,48,41,5,16,18,25,3,13,2,23,0,15.43,False,7420.4,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,7,000272,27,27,26,26,static,False,none,1113.82,0.0,219.57,18.93,15.05,80.55,334.09,33,1,1,48,41,5,16,17,25,3,13,2,23,0,15.44,False,7417.2,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,8,000274,27,27,26,26,static,False,none,1128.87,0.0,229.14,19.53,14.86,86.31,349.85,32,1,1,48,41,6,15,17,26,3,12,3,23,0,15.47,False,7420.2,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,9,000276,27,27,26,26,static,False,none,964.42,0.0,225.77,20.09,16.85,83.63,346.33,35,1,1,48,41,6,17,18,24,3,14,3,21,0,15.44,False,7420.5,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,10,000278,27,27,26,26,static,False,none,1152.71,0.0,242.41,29.25,16.21,94.11,381.98,34,1,1,49,41,6,17,17,24,3,14,3,21,0,15.43,False,7422.2,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,11,000280,27,27,26,26,static,False,none,1118.82,0.0,254.73,16.35,15.01,58.18,344.27,31,1,1,49,41,6,16,15,25,3,13,3,22,0,15.41,False,7418.6,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,12,000282,27,27,26,26,static,False,none,988.7,0.0,226.78,36.49,15.35,91.79,370.41,33,1,1,49,41,6,17,16,24,3,14,3,21,0,15.42,False,7421.1,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,13,000284,27,27,26,26,static,False,none,1191.27,0.0,235.87,24.57,14.76,79.28,354.48,32,1,1,49,41,5,16,16,25,2,14,3,22,0,15.38,False,7418.5,8450.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,14,000286,27,27,26,26,static,False,none,1125.26,0.0,231.93,18.24,14.23,91.02,355.43,31,1,1,49,41,5,15,16,26,2,13,3,23,0,15.42,False,7419.3,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,15,000288,27,27,26,26,static,False,none,1055.42,0.0,235.44,20.18,15.75,92.82,364.19,33,1,1,49,41,5,17,16,24,2,15,3,21,0,15.39,False,7417.4,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,16,000290,27,27,26,26,static,False,none,1116.76,0.0,258.94,22.4,14.92,83.1,379.36,32,1,1,49,41,5,16,16,25,2,14,3,22,0,15.4,False,7418.8,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,17,000292,27,27,26,26,static,False,none,1119.9,0.0,236.56,23.32,14.44,89.28,363.61,31,1,1,49,41,5,16,15,25,2,14,3,22,0,15.44,False,7416.0,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,18,000294,27,27,26,26,static,False,none,975.01,0.0,249.97,19.42,14.64,84.24,368.28,32,1,1,49,41,5,16,16,25,2,14,3,22,0,15.44,False,7405.0,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,19,000296,27,27,26,26,static,False,none,1153.83,0.0,228.22,23.0,14.52,108.05,373.79,32,1,1,49,41,5,15,17,26,2,13,3,23,0,15.43,False,7408.7,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,20,000298,27,27,26,26,static,False,none,1133.59,0.0,228.76,22.15,15.81,73.91,340.62,33,1,1,49,41,5,17,16,24,2,15,3,21,0,15.48,False,7406.8,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,21,000300,27,27,26,26,static,False,none,969.36,0.0,227.02,21.87,15.64,71.34,335.87,33,1,1,49,41,5,17,16,24,2,15,3,21,0,15.43,False,7405.8,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,22,000302,27,27,26,26,static,False,none,1123.02,0.0,231.48,15.82,15.06,57.97,320.33,31,1,1,49,41,6,15,16,26,2,13,4,22,0,15.43,False,7409.0,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,23,000304,27,27,26,26,static,False,none,1016.76,0.0,213.84,19.81,14.88,57.42,305.95,32,1,1,49,41,6,17,15,24,2,15,4,20,0,15.39,False,7403.9,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,24,000306,27,27,26,26,static,False,none,979.14,0.0,228.69,22.34,13.79,85.73,350.55,30,1,1,49,41,5,16,14,25,2,14,3,22,0,15.45,False,7406.6,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,25,000308,27,27,26,26,static,False,none,1160.61,0.0,227.43,22.23,13.2,118.47,381.34,29,1,1,49,41,5,15,14,26,2,13,3,23,0,15.46,False,7403.4,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,26,000310,27,27,26,26,static,False,none,997.11,0.0,232.99,18.72,13.99,127.01,392.71,31,1,1,49,41,6,16,15,25,2,14,4,21,0,15.47,False,7404.2,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,27,000312,27,27,26,26,static,False,none,1167.48,0.0,222.2,15.87,14.77,127.36,380.19,32,1,1,49,41,6,17,15,24,2,15,4,20,0,15.44,False,7401.0,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,28,000314,27,27,26,26,static,False,none,972.2,0.0,249.76,18.91,15.94,117.88,402.49,34,1,1,49,41,6,17,17,24,2,15,4,20,0,15.47,False,7404.0,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,29,000316,27,27,26,26,static,False,none,1176.4,0.0,226.72,20.84,16.27,68.76,332.59,34,1,1,49,41,6,17,17,24,2,15,4,20,0,15.47,False,7396.6,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,30,000318,27,27,26,26,static,False,none,1126.6,0.0,228.09,22.79,14.37,73.59,338.85,31,1,1,49,41,6,16,15,25,2,14,4,21,0,15.45,False,7393.9,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,31,000320,27,27,26,26,static,False,none,954.26,0.0,224.97,24.05,16.21,69.66,334.89,34,1,1,50,41,7,17,17,24,2,15,5,19,0,15.45,False,7394.5,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,32,000322,27,27,26,26,static,False,none,1176.66,0.0,220.07,32.65,15.0,72.37,340.1,31,1,1,50,41,8,15,16,26,3,12,5,21,0,15.44,False,7390.3,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,33,000324,27,27,26,26,static,False,none,985.23,0.0,222.18,16.3,17.31,66.22,322.02,34,1,1,50,41,8,17,17,24,3,14,5,19,0,15.45,False,7392.2,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,34,000326,27,27,26,26,static,False,none,1169.51,0.0,226.65,42.63,14.87,76.91,361.06,31,1,1,50,41,9,16,15,25,3,13,6,19,0,15.4,False,7388.8,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,35,000328,27,27,26,26,static,False,none,979.11,0.0,227.56,23.38,15.63,82.81,349.37,33,1,1,50,41,9,17,16,24,3,14,6,18,0,15.45,False,7387.7,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,36,000330,27,27,26,26,static,False,none,1132.36,0.0,229.33,15.81,15.69,112.96,373.79,32,1,1,50,41,8,17,15,24,3,14,5,19,0,15.36,False,7385.5,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,37,000332,27,27,26,26,static,False,none,976.08,0.0,229.08,22.95,15.02,92.6,359.65,31,1,1,50,41,8,16,15,25,3,13,5,20,0,15.41,False,7384.1,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,38,000334,27,27,26,26,static,False,none,987.49,0.0,237.67,23.19,15.38,67.95,344.19,32,1,1,49,42,9,17,15,25,3,14,6,19,0,15.42,False,7383.8,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,39,000336,27,27,26,26,static,False,none,1172.24,0.0,228.73,21.92,14.5,67.34,332.49,31,1,1,50,43,9,17,14,26,3,14,6,20,0,15.45,False,7380.8,8452.0
static_all,Town10HD__2023_11_15_00_20_38,rsu_40,40,000338,28,28,27,27,static,False,none,1141.2,0.0,236.58,17.03,14.58,83.92,352.1,31,1,1,50,43,9,17,14,26,3,14,6,20,0,15.43,False,7583.9,8544.0
